"Fisher","Month","Year","Days_Fished","Total_Income","Total_Catch"
"F010","April","2012",4,218698.937488693,145
"F010","April","2016",18,1478100,1106.75
"F010","April","2017",2,1478375,946.5
"F010","April","2018",19,1518787.5,971.25
"F010","April","2019",18,2503562.5,1254.25
"F010","May","2012",2,157875,128.416666666667
"F010","May","2013",1,125925,108
"F010","May","2016",27,5065987.5,2949.5
"F010","May","2017",1,655933.333333333,410.033333333333
"F010","May","2018",14,1646923.5,904.5
"F010","May","2019",19,2536975,1138
"F010","June","2012",13,1810737.5,844
"F010","June","2013",2,203550,167
"F010","June","2016",1,214850,87.5
"F010","June","2017",9,1231700,791
"F010","June","2018",25,3308525,1412
"F010","June","2019",21,2931750,1176
"F010","July","2012",1,73000,21
"F010","July","2016",12,1451075,952.5
"F010","July","2017",17,3027019.5,956.75
"F010","July","2018",19,2743500,966.25
"F010","July","2019",11,1336625,655.25
"F010","August","2012",3,232160.621123292,194.5
"F010","August","2016",23,2855650,1967
"F010","August","2017",8,983436.5,536.75
"F010","August","2018",20,3665020.83333333,1152.66666666667
"F010","September","2012",4,222250,111.75
"F010","September","2016",12,2455700,962
"F010","September","2017",14,1782275,941
"F010","September","2018",28,4878000,1816.75
"F010","October","2012",3,248000,150
"F010","October","2016",16,1714000,1014.5
"F010","October","2017",9,2003066.66666667,486.666666666667
"F010","October","2018",16,1803750,821.5
"F010","November","2012",4,736900,383.5
"F010","November","2016",6,461075,331.25
"F010","November","2017",14,1356400,743.25
"F010","November","2018",13,1265375,670.25
"F010","December","2012",1,247375,120
"F010","December","2016",7,376525,295.083333333333
"F010","December","2017",12,1375616.66666667,1024.58333333333
"F010","December","2018",5,406625,189
"F012","March","2013",1,28950,23
"F012","May","2013",7,225700,130
"F012","June","2013",7,311750,148
"F012","July","2013",6,561184.978730947,139
"F012","August","2013",9,461400,182
"F012","September","2013",5,157500,84
"F012","October","2013",21,1385400,879
"F012","November","2013",12,956650,548
"F012","December","2013",2,38500,11
"F013","May","2013",1,50350,48
"F014","June","2013",1,25000,2
"F015","March","2013",8,1838200,326
"F015","April","2013",9,1624446.17954483,457
"F015","May","2013",7,922486.377708978,223
"F015","June","2013",9,1823250,273
"F015","July","2013",14,3095170.951947,688
"F015","August","2013",3,334250,73
"F015","September","2013",2,423250,159
"F015","October","2013",15,5507900,1821
"F015","November","2013",13,3909400,1446
"F015","December","2013",2,55000,7
"F016","June","2017",3,108500,67
"F017","September","2016",2,72000,51
"F018","July","2013",1,24500,3
"F019","March","2013",3,414100,183
"F019","April","2013",8,571197.570656653,790
"F019","May","2013",6,450434.726224784,496
"F019","June","2013",5,269500,216
"F019","July","2013",3,161450,132
"F019","November","2013",1,73250,107
"F020","January","2013",6,709750,757
"F020","January","2015",2,140250,139
"F020","January","2016",3,358250,470
"F020","January","2017",3,348375,287
"F020","January","2023",5,32357891.8971429,638
"F020","February","2012",2,150500,164
"F020","February","2013",3,682500,455
"F020","February","2016",4,518225,385
"F020","February","2017",2,117250,78
"F020","February","2023",1,32000,8
"F020","March","2012",4,449500,332
"F020","March","2016",14,1174650,830.25
"F020","March","2017",3,332875,247.5
"F020","March","2023",3,586850.551666667,328
"F020","April","2012",4,440149.390243902,264
"F020","April","2013",6,860776.275645409,1032
"F020","April","2016",6,834400,612.25
"F020","April","2023",2,14250,4.5
"F020","May","2012",7,1183729.67034494,662
"F020","May","2013",14,1841575.83171323,1507.25
"F020","May","2023",3,12669.3333333333,4.5
"F020","June","2012",4,773500,558
"F020","June","2016",2,204250,109
"F020","June","2017",3,117000,58
"F020","June","2022",1,178500,92
"F020","June","2023",6,219038.54344086,119
"F020","July","2015",2,119500,95
"F020","July","2016",1,182000,64
"F020","July","2017",1,205500,160
"F020","July","2023",2,929504,314
"F020","August","2015",10,1719250,1270
"F020","August","2016",2,156125,124.5
"F020","September","2012",4,258500,211.25
"F020","September","2013",1,1095000,730
"F020","September","2015",4,208050,151
"F020","September","2016",15,3161700,2320.75
"F020","September","2023",1,327750,147
"F020","October","2012",8,371000,350
"F020","October","2013",6,766650,606
"F020","October","2015",4,243675,208.5
"F020","October","2016",1,143250,85
"F020","October","2017",1,168500,59.75
"F020","October","2023",2,7500,3
"F020","November","2012",2,141925,104.5
"F020","November","2013",9,788825,681.083333333333
"F020","November","2015",4,341925,381.25
"F020","November","2016",2,259375,175.5
"F020","November","2023",2,4000,1
"F020","December","2013",5,551250,687.5
"F020","December","2015",2,353875,309.75
"F020","December","2016",5,434250,300.666666666667
"F020","December","2022",5,642751.726325086,268.5
"F020","December","2023",8,3080037.64428571,378
"F021","April","2016",2,166125,173.75
"F022","March","2013",1,6000,1
"F022","April","2013",1,151031.311154599,26
"F022","July","2013",1,71000,7
"F023","January","2023",1,79801.6780645161,56
"F023","June","2023",1,4000,2
"F023","October","2023",4,332500,136
"F023","December","2022",2,243547.169811321,120
"F024","June","2017",1,55500,41
"F025","December","2022",1,161364.692653673,77
"F026","January","2017",4,419500,256
"F026","February","2017",2,215800,129
"F026","February","2023",2,11000,4
"F026","March","2016",11,712300,481
"F026","April","2013",1,316169.351375077,510
"F026","April","2016",4,260500,175
"F026","April","2023",4,183634.270860215,111.75
"F026","May","2013",2,88592.8631291362,83
"F026","May","2023",3,119960.626666667,78.5
"F026","June","2016",8,700750,600
"F026","June","2017",2,196750,137
"F026","July","2016",2,256500,115
"F026","July","2017",4,211518.349185456,135
"F026","July","2023",1,43759.9083870968,34
"F026","August","2016",15,3141100,1756
"F026","September","2016",19,3506100,2342
"F026","September","2017",1,73950,36
"F026","October","2013",7,612300,340
"F026","October","2016",2,212000,149
"F026","October","2017",1,100750,77
"F026","October","2023",2,133039.091220238,83.5
"F026","November","2013",3,307750,169
"F026","November","2016",4,589600,312
"F026","November","2017",2,117850,91
"F026","December","2016",1,184500,77
"F026","December","2017",2,117199.324324324,86
"F027","February","2013",3,337750,192.2
"F028","February","2017",2,117500,77
"F028","February","2022",1,154500,88
"F028","March","2016",2,116000,90
"F028","March","2022",6,1845500,586
"F028","April","2016",5,218150,135
"F028","June","2016",4,498925,186.75
"F028","October","2018",1,350000,20
"F028","November","2016",3,266450,232
"F028","November","2018",1,5000,1
"F028","December","2016",3,367450,233
"F029","March","2013",1,36500,34
"F029","April","2013",3,160100,171
"F029","May","2013",1,41672.7586206897,33
"F029","June","2013",2,141200,118
"F029","November","2013",2,212000,23
"F031","May","2013",1,122700,68
"F031","June","2013",5,297600,274
"F031","August","2013",1,18750,23
"F031","September","2013",3,142900,104
"F031","October","2013",11,904050,673
"F031","November","2013",7,534600,410
"F030","September","2013",1,15000,2
"F030","November","2013",1,37500,4
"F032","May","2013",3,125000,30
"F032","June","2013",2,34000,11
"F032","July","2013",3,67750,20.75
"F032","August","2013",2,53000,12.25
"F032","September","2013",3,86500,29
"F032","November","2013",5,52000,15
"F032","December","2013",2,43000,24
"F034","January","2015",11,3182250,1396
"F034","January","2016",11,3190250,1400
"F034","January","2017",10,3537250,1296.25
"F034","January","2018",8,2795250,1197.5
"F034","January","2019",7,1925289.54081633,874.5
"F034","January","2022",11,6175750,2519.5
"F034","January","2023",8,3135750,1819.5
"F034","February","2013",4,92000,3.5
"F034","February","2016",10,2563500,1084.5
"F034","February","2017",10,3458375,1421.5
"F034","February","2018",13,3649750,1579
"F034","February","2022",16,10150250,4462.5
"F034","February","2023",9,7881250,4117
"F034","March","2017",7,2046250,847.5
"F034","March","2018",10,3226750,1462
"F034","March","2022",11,5225500,2122
"F034","March","2023",14,10744500,4256
"F034","April","2016",12,3447000,1684.5
"F034","April","2017",11,3007250,1152.5
"F034","April","2018",14,3754250,1567.5
"F034","April","2022",8,3707500,1695.5
"F034","April","2023",4,3799000,1519
"F034","May","2012",1,245000,132.5
"F034","May","2013",4,396000,321.5
"F034","May","2016",12,3594750,1396.5
"F034","May","2017",12,2685250,1189
"F034","May","2018",7,1799250,856.5
"F034","May","2022",8,2902750,1234.5
"F034","May","2023",14,5499500,2037
"F034","June","2012",4,668875,316.75
"F034","June","2013",10,4108550,1794.5
"F034","June","2016",13,4952000,1732.5
"F034","June","2017",8,1503500,768.5
"F034","June","2018",8,2297500,942.75
"F034","June","2022",14,5684000,2079
"F034","June","2023",10,3687000,1497
"F034","July","2013",11,3678440.17826997,1612.25
"F034","July","2015",10,3174750,1327.5
"F034","July","2016",10,4036750,1439.5
"F034","July","2017",16,4384250,1866.5
"F034","July","2018",13,3996083.33333333,1567.91666666667
"F034","July","2022",5,2562500,1168.5
"F034","July","2023",10,5101000,2377
"F034","August","2013",9,2361875,918.75
"F034","August","2015",12,4484375,2029.5
"F034","August","2016",11,4509250,1558
"F034","August","2017",8,2787000,888
"F034","August","2018",9,3254250,1085.5
"F034","August","2022",3,1423750,557.5
"F034","August","2023",11,3464000,1175.5
"F034","September","2012",9,1999750,922.25
"F034","September","2015",13,3446250,1436
"F034","September","2016",12,5598825,2151.5
"F034","September","2017",13,4092000,1749.5
"F034","September","2018",14,6013500,1819.75
"F034","September","2022",14,6534500,2338.5
"F034","September","2023",8,1526500,555.5
"F034","October","2012",13,3730117.5,1636.5
"F034","October","2013",12,3431750,1841.25
"F034","October","2015",11,2810250,1262.5
"F034","October","2016",9,3879525,1463.5
"F034","October","2017",13,6337125,2386.5
"F034","October","2018",13,5287125,1604.25
"F034","October","2022",14,7247500,2574
"F034","October","2023",14,7513500,3143
"F034","November","2012",11,3184625,1222
"F034","November","2013",13,4785875,1865.41666666667
"F034","November","2015",11,2893875,1296.25
"F034","November","2016",3,1013000,471
"F034","November","2017",12,3960625,1502.16666666667
"F034","November","2018",11,3521000,1437
"F034","November","2022",12,721500,476
"F034","November","2023",11,4213750,1629
"F034","December","2012",10,2310250,1122.5
"F034","December","2013",6,2151000,1252
"F034","December","2015",10,2754750,1218
"F034","December","2017",13,3213048.9167784,1434.70833333333
"F034","December","2018",9,2350500,1006.25
"F034","December","2022",7,4041500,1545.5
"F034","December","2023",5,1261500,438.5
"F035","March","2013",3,411000,28
"F035","April","2013",1,41000,7
"F035","May","2013",2,98750,45
"F035","June","2013",1,45000,11
"F035","July","2013",1,22250,9
"F035","October","2013",3,98000,22
"F035","November","2013",3,161000,32
"F035","December","2013",1,60000,5
"F036","August","2013",1,101500,48
"F036","August","2016",2,314050,103
"F037","January","2012",2,593000,263
"F037","February","2013",4,252866.666666667,170.316666666667
"F037","March","2012",1,45474.4370315476,27
"F037","April","2012",2,104506.087526576,71
"F037","May","2012",2,103500,86
"F037","June","2012",6,940687.5,309.5
"F037","June","2016",4,597000,172
"F037","July","2013",7,864600,358
"F037","July","2016",3,259000,109
"F037","August","2013",6,785100,385
"F037","August","2016",6,688000,306
"F037","September","2013",1,217000,28
"F037","September","2016",5,793200,253
"F037","October","2013",3,509000,124
"F037","November","2016",1,218000,64
"F038","July","2015",2,181250,75
"F038","August","2015",6,1484300,401
"F038","September","2015",1,44000,19
"F039","January","2017",1,48800,47
"F039","January","2023",7,793602.351212121,380
"F039","February","2013",4,249900,151
"F039","February","2023",7,463549.932683983,304
"F039","March","2023",7,3324927.411298,502
"F039","April","2013",2,132364.936930226,88
"F039","April","2023",10,469630.191693548,271.75
"F039","May","2013",6,362850,353.75
"F039","May","2023",9,512767.271041667,307.5
"F039","June","2023",12,459525.512642089,220.5
"F039","July","2015",4,314450,246
"F039","July","2023",5,609584.666666667,303
"F039","August","2015",6,399650,263
"F039","September","2012",1,14000,12
"F039","September","2015",2,83800,53
"F039","September","2023",3,548374.2,283
"F039","October","2015",2,168782.557378898,87
"F039","October","2017",1,67750,43.25
"F039","October","2023",16,2059788.77122024,1068.5
"F039","November","2012",4,224800,164
"F039","November","2017",1,118800,72
"F039","November","2022",1,95500,45
"F039","November","2023",16,1331487.82172043,637
"F039","December","2017",1,55500,43
"F039","December","2022",6,2224816.03773585,923
"F039","December","2023",26,2723084.50666667,1246
"F040","July","2017",20,2519600,1260.5
"F041","March","2013",2,125250,82
"F041","April","2013",4,175909.216589862,47
"F041","May","2013",8,310384.101382489,75
"F041","June","2013",7,308000,64
"F041","July","2013",3,88250,28
"F041","August","2013",1,35750,11
"F041","October","2013",1,69250,17
"F042","January","2012",5,715985.302007504,636
"F042","January","2013",5,450900,364
"F042","January","2019",14,1423750,752
"F042","February","2013",12,1085550,586
"F042","February","2019",20,2504750,1223.75
"F042","March","2012",1,94977.1177550486,40
"F042","March","2013",1,269500,300
"F042","March","2019",12,2110925,839.25
"F042","April","2012",4,386743.404214304,373
"F042","April","2019",21,2662687.5,1238.5
"F042","May","2012",10,458500,408
"F042","May","2019",19,3486325,1462
"F042","June","2012",7,393250,328
"F042","June","2018",1,306125,68.5
"F042","June","2019",24,4661625,1726.75
"F042","July","2019",13,1552975,762.5
"F042","August","2012",4,294790.420631645,188
"F042","September","2012",2,69000,36
"F042","October","2012",3,316750,221
"F042","October","2013",1,50000,1
"F042","October","2018",17,3073250,1188.75
"F042","November","2012",12,1087500,819
"F042","December","2012",4,277150,170
"F042","December","2018",5,397875,252.75
"F043","January","2018",5,518575,388
"F043","February","2018",6,635550,319.25
"F043","March","2018",12,977825,589
"F043","April","2018",6,460612.5,279.75
"F043","May","2018",13,1471275,844.5
"F043","June","2018",24,3396946.59304511,1700.75
"F043","July","2018",19,2989666.66666667,1202.33333333333
"F043","August","2017",12,2076612.5,970.75
"F043","August","2018",23,5359354.16666667,1190.83333333333
"F043","September","2017",16,3935075,1335.75
"F043","September","2018",27,5027875,1496.5
"F043","October","2017",14,2971908.33333333,1198.33333333333
"F043","November","2017",12,1680025,907.333333333333
"F043","November","2018",3,506875,158.25
"F043","December","2017",18,2008716.66666667,1205.20833333333
"F044","March","2013",1,41500,8
"F044","April","2013",1,78000,19
"F044","May","2013",3,176000,35
"F044","June","2013",1,75500,25
"F044","July","2013",2,130000,25
"F044","September","2013",2,12000,2
"F045","September","2013",1,34500,12
"F045","October","2013",6,628850,136
"F045","November","2013",5,259100,179
"F046","May","2012",1,189000,77
"F047","January","2022",6,11152000,1903
"F047","February","2022",5,10557000,1528
"F047","March","2022",5,9456000,1613
"F047","April","2022",1,443500,112
"F047","May","2022",3,7112000,1253
"F047","June","2022",3,3633000,729
"F048","September","2015",1,748500,989
"F049","May","2013",3,194500,134
"F049","July","2013",1,114250,81
"F049","October","2013",4,337550,195
"F050","February","2023",1,8507.49122746186,7.5
"F050","March","2023",1,508614.401785714,75.25
"F050","May","2023",2,128171.855,70
"F050","June","2023",2,132250,63
"F050","July","2023",1,61376.3680952381,26
"F050","September","2012",2,227750,316
"F050","September","2023",1,4000,1
"F050","October","2012",1,141750,130
"F052","January","2012",1,52000,22
"F052","January","2013",5,596662.5,346.083333333333
"F052","January","2017",3,664600,485
"F052","January","2018",6,883450,503
"F052","January","2019",13,1383875,690
"F052","January","2023",8,2429693.80275966,683.5
"F052","February","2013",7,805350,535
"F052","February","2016",4,468550,352
"F052","February","2017",6,983425,550
"F052","February","2018",10,1228100,829.25
"F052","February","2019",20,2853750,1663.25
"F052","March","2012",1,76605.8422258967,51.5
"F052","March","2016",12,1079325,872.25
"F052","March","2017",7,443375,321.75
"F052","March","2018",10,862600,528
"F052","March","2019",12,1683625,822.75
"F052","April","2012",4,218698.937488693,145
"F052","April","2013",1,266350.649350649,311
"F052","April","2016",18,1478100,1106.75
"F052","April","2017",2,1752625,1088.5
"F052","April","2018",19,1518787.5,971.25
"F052","April","2019",21,2991187.5,1463.5
"F052","April","2022",1,150062.5,96.5
"F052","April","2023",1,80000,1
"F052","May","2012",2,157875,128.416666666667
"F052","May","2013",3,364775,299
"F052","May","2016",27,5065987.5,2949.5
"F052","May","2017",1,733825,464.5
"F052","May","2018",14,1646923.5,904.5
"F052","May","2019",19,2536975,1138
"F052","May","2022",1,127304.347826087,79
"F052","May","2023",2,38000,19
"F052","June","2012",13,1810737.5,844
"F052","June","2013",2,203550,167
"F052","June","2016",1,214850,87.5
"F052","June","2018",24,3218525,1376.5
"F052","June","2019",23,3397625,1401.25
"F052","June","2022",1,300163.043478261,173
"F052","June","2023",2,6000,2
"F052","July","2016",12,1451075,952.5
"F052","July","2017",17,3027019.5,956.75
"F052","July","2018",19,2743500,966.25
"F052","July","2019",12,1496625,697
"F052","July","2023",1,1140000,469
"F052","August","2012",4,303785.621123292,245.75
"F052","August","2016",23,2855650,1967
"F052","August","2017",8,983436.5,536.75
"F052","August","2018",20,3665020.83333333,1152.66666666667
"F052","September","2012",4,222250,111.75
"F052","September","2016",12,2455700,962
"F052","September","2017",14,1782275,941
"F052","September","2018",28,4878000,1816.75
"F052","September","2023",5,840500,405
"F052","October","2012",3,248000,150
"F052","October","2016",16,1714000,1014.5
"F052","October","2017",9,2003066.66666667,486.666666666667
"F052","October","2018",16,1803750,821.5
"F052","October","2023",9,2603500,1188
"F052","November","2012",9,1495750,1016.5
"F052","November","2016",15,1643175,1143.25
"F052","November","2017",14,1356400,743.25
"F052","November","2018",13,1265375,670.25
"F052","November","2023",15,2473500,1232
"F052","December","2012",2,456375,231
"F052","December","2016",7,376525,295.083333333333
"F052","December","2017",12,1375616.66666667,1024.58333333333
"F052","December","2018",5,406625,189
"F052","December","2022",2,176250,69
"F052","December","2023",8,1110500,406
"F053","February","2013",2,326300,212
"F054","March","2013",1,40000,4
"F055","July","2013",1,6000,1
"F056","April","2013",1,22886.23401192,7
"F056","July","2013",12,751311.770938829,372
"F056","August","2013",10,530500,164
"F056","September","2013",1,6000,1
"F056","November","2013",1,144600,32
"F056","December","2013",1,6000,1
"F058","January","2012",3,500500,558
"F058","January","2013",2,201000,149.75
"F058","January","2016",1,87500,90
"F058","January","2017",2,242500,161
"F058","February","2017",3,236050,162
"F058","March","2012",1,229050,307
"F058","April","2013",6,647706.061267032,420
"F058","April","2016",3,244250,130
"F058","May","2012",4,273100,207
"F058","May","2013",16,1751538.37613882,1203.75
"F058","June","2013",6,820687.5,491.625
"F058","June","2016",2,110750,59
"F058","July","2013",8,519061.886610585,445.5
"F058","August","2013",7,398187.5,304.375
"F058","September","2012",1,256750,280
"F058","October","2012",5,559150,545
"F058","November","2013",3,203250,180
"F058","November","2016",4,250350,225
"F060","January","2015",2,416875,220
"F060","January","2016",10,1645725,1071
"F060","January","2017",1,437500,48
"F060","February","2016",8,1128425,782
"F060","February","2017",2,167375,132.5
"F060","March","2016",14,1859075,1454.25
"F060","March","2017",2,314750,151.25
"F060","April","2016",5,449825,392.75
"F060","April","2017",4,522625,199.75
"F060","May","2012",1,194025,52.25
"F060","May","2017",1,32000,25.5
"F060","June","2012",5,795187.5,267.5
"F060","June","2013",2,27500,3
"F060","June","2016",3,345083.333333333,194.333333333333
"F060","July","2013",2,341637.5,301.5
"F060","July","2015",4,658200,432.5
"F060","July","2016",7,2476250,677.5
"F060","July","2017",2,707625,110
"F060","August","2013",9,1433904.16666667,1044.95833333333
"F060","August","2015",1,182125,53.5
"F060","August","2016",7,2092850,791.5
"F060","September","2015",5,1472500,497.25
"F060","September","2016",10,5665675,1375.25
"F060","October","2013",3,684875,259.083333333333
"F060","October","2015",10,3994162.5,814.75
"F060","November","2013",1,3000,2
"F060","November","2015",11,1792350,746.5
"F060","November","2016",8,1487025,949
"F060","December","2015",3,474200,215
"F057","February","2012",4,428400,439
"F057","March","2012",5,380275.778491901,386
"F057","April","2012",2,179563.468803776,152
"F059","June","2013",1,377000,321
"F059","June","2016",1,171875,77
"F062","May","2016",3,889250,267.25
"F062","June","2016",2,1360750,281
"F061","June","2016",1,487233.333333333,72.0666666666667
"F063","March","2013",5,671500,317
"F063","April","2013",2,128454.551809316,22
"F063","June","2013",5,407150,595
"F063","July","2013",8,560509.275763578,385
"F063","August","2013",8,377800,365
"F063","September","2013",4,397150,652
"F063","October","2013",5,369800,392
"F063","November","2013",7,749700,816
"F063","December","2013",2,12000,2
"F064","July","2013",2,39000,26
"F065","April","2013",1,17992.6393270242,6
"F066","January","2012",2,144375,187
"F066","January","2023",1,31000,24
"F066","November","2012",1,35500,43
"F067","January","2013",5,618087.5,284.416666666667
"F067","January","2017",3,408100,267.45
"F067","January","2023",16,1416604.65910191,722.5
"F067","February","2012",3,373175,301.25
"F067","February","2013",11,1209641.66666667,845.583333333333
"F067","February","2017",3,428925,194.25
"F067","February","2023",8,656479.090079208,498.75
"F067","March","2012",4,148125,152
"F067","March","2013",1,37725,24
"F067","March","2016",7,1412850,962
"F067","March","2017",1,95125,41
"F067","March","2023",6,391103.621739544,224.25
"F067","April","2012",1,27475,29.25
"F067","April","2016",5,940450,731
"F067","April","2023",6,583439.202012638,386.75
"F067","May","2012",3,314900,203.75
"F067","May","2013",2,222850,140.333333333333
"F067","May","2016",1,42000,34
"F067","May","2022",1,264465.767116442,106.5
"F067","May","2023",6,574020.216531211,253
"F067","June","2012",1,42000,19
"F067","June","2013",5,556175,272
"F067","June","2016",8,1079025,524.75
"F067","June","2017",4,906125,204.5
"F067","June","2023",11,1102249.6172057,666
"F067","July","2017",6,1073084.42734197,451.5
"F067","July","2023",7,330901.608333333,246
"F067","August","2012",4,539525.354160728,291.5
"F067","August","2016",3,835500,216
"F067","August","2017",1,116675,121.5
"F067","September","2012",1,8750,3
"F067","September","2017",1,102750,62
"F067","September","2023",3,306768.910584416,185.5
"F067","October","2012",1,186250,42.5
"F067","October","2023",5,405690.875974026,282.5
"F067","November","2012",8,923400,479.75
"F067","November","2023",5,193612.221078937,137
"F067","December","2012",4,694000,401.5
"F067","December","2016",3,288000,182.25
"F067","December","2022",2,1465622.2826087,471.5
"F067","December","2023",21,5793254.72523297,2830.5
"F068","January","2023",8,23852132.4085714,753
"F068","February","2023",2,24355217.2004762,699
"F068","March","2023",4,3136004.41047619,293
"F068","May","2023",5,2973191.36428571,249
"F068","June","2023",6,301592.11,219.5
"F068","July","2023",1,12000,3
"F068","September","2023",1,327750,147
"F068","October","2022",1,465500,20.5
"F068","October","2023",3,53376.45,61
"F068","November","2023",2,4000,1
"F068","December","2022",3,517778.274462484,276
"F068","December","2023",10,1782000,689
"F069","February","2016",1,156250,127
"F070","January","2013",2,13000,5
"F070","January","2015",2,140250,139
"F070","January","2016",3,404250,301
"F070","January","2017",7,872925,596
"F070","February","2012",1,48750,45
"F070","February","2016",3,424625,384
"F070","February","2017",6,743050,421
"F070","March","2012",1,128500,132
"F070","March","2013",2,408000,272
"F070","March","2016",15,1557650,1208.25
"F070","March","2017",5,955375,624.5
"F070","April","2012",2,125950,85
"F070","April","2013",6,860776.275645409,1032
"F070","April","2016",13,1462675,1142
"F070","April","2017",2,336750,186
"F070","May","2013",15,1738833.35969504,1335.25
"F070","June","2012",4,773500,558
"F070","June","2013",12,2214750,1782
"F070","June","2016",12,1764700,1455
"F070","July","2013",3,168248.773221171,106
"F070","July","2015",1,159050,106
"F070","July","2016",4,883750,513
"F070","July","2017",5,1352568.81146657,539
"F070","August","2012",3,375250,560
"F070","August","2013",8,1997900,1518
"F070","August","2016",12,2925325,1823.5
"F070","September","2012",5,462750,437.25
"F070","September","2013",2,2430000,2100
"F070","September","2015",2,225000,192
"F070","September","2016",12,1799350,1158.75
"F070","September","2017",1,49000,41
"F070","October","2012",8,371000,350
"F070","October","2013",7,920150,698
"F070","October","2015",12,906675,829.5
"F070","October","2016",2,198350,128
"F070","October","2017",1,168500,59.75
"F070","November","2012",7,717975,590.5
"F070","November","2013",10,815825,705.083333333333
"F070","November","2015",4,218175,220.25
"F070","November","2016",8,1416475,989.5
"F070","November","2017",1,185500,118
"F070","December","2013",5,551250,687.5
"F070","December","2015",3,377125,326.75
"F070","December","2016",5,434250,300.666666666667
"F071","January","2013",1,88500,132
"F071","January","2015",1,59000,41
"F071","January","2016",8,668400,683
"F071","February","2012",3,197400,247
"F071","February","2016",5,374750,347
"F071","February","2017",2,103500,74
"F071","March","2012",7,474750,467
"F071","March","2016",12,1202600,1032
"F071","April","2012",5,386250,279
"F071","April","2013",3,369547.33829034,310
"F071","April","2016",13,904350,692
"F071","May","2012",11,762250,750
"F071","May","2013",9,906207.835599392,927
"F071","June","2012",7,515286.710299158,487
"F071","June","2013",2,253300,223
"F071","July","2013",9,814700,661
"F071","July","2015",8,530650,539
"F071","August","2012",13,869050,993
"F071","August","2013",9,730850,665
"F071","August","2015",4,259200,264
"F071","September","2012",17,1737900,1971
"F071","September","2015",5,314550,302
"F071","October","2012",16,1666752.20125786,1648
