"Species","Year","Total_Catch_Yr","Total_Income_Yr","Total_Fishing_Trips_Yr","CPUE"
"Acanthurus leucosternon","2017",3,42500,201,0.0149253731343284
"Acanthurus leucosternon","2018",3,45000,326,0.00920245398773006
"Acanthurus leucosternon","2019",1,15000,98,0.0102040816326531
"Acanthurus leucosternon","2022",6,150000,70,0.0857142857142857
"Acanthurus leucosternon","2023",10,255000,387,0.0258397932816537
"Acanthurus lineatus","2012",742,1477929.75206612,1593,0.465787821720025
"Acanthurus lineatus","2013",3231,7368911.04014599,2234,1.44628469113697
"Acanthurus lineatus","2015",710,1489500,727,0.976616231086658
"Acanthurus lineatus","2016",6566,16357000,2087,3.1461427886919
"Acanthurus lineatus","2017",1207,3533317.12962963,1130,1.06814159292035
"Acanthurus lineatus","2018",1274,3768500,1423,0.895291637385805
"Acanthurus lineatus","2019",467,1414000,842,0.554631828978622
"Acanthurus lineatus","2022",857,3734000,389,2.20308483290488
"Acanthurus lineatus","2023",1023,4146000,1525,0.670819672131148
"Acanthurus maculiceps","2012",9,138000,755,0.0119205298013245
"Acanthurus maculiceps","2015",19,407500,669,0.0284005979073244
"Acanthurus maculiceps","2016",380,3894500,2087,0.182079540009583
"Acanthurus maculiceps","2017",36,515000,444,0.0810810810810811
"Acanthurus maculiceps","2018",28,380000,947,0.0295670538542767
"Acanthurus maculiceps","2019",3,30000,78,0.0384615384615385
"Acanthurus maculiceps","2022",3,30000,70,0.0428571428571429
"Acanthurus maculiceps","2023",1,10000,90,0.0111111111111111
"Acanthurus mata","2022",2,8000,30,0.0666666666666667
"Acanthurus nigricans","2012",148,1315843.67391304,1509,0.098078197481776
"Acanthurus nigricans","2015",20,213000,527,0.0379506641366224
"Acanthurus nigricans","2016",536,5353000,2087,0.256827982750359
"Acanthurus nigricans","2017",230,2643270.83333333,1130,0.20353982300885
"Acanthurus nigricans","2018",48,530500,927,0.0517799352750809
"Acanthurus nigricans","2019",3,32500,407,0.00737100737100737
"Acanthurus nigricans","2022",214,3557500,303,0.706270627062706
"Acanthurus nigricans","2023",441,7144250,1525,0.289180327868852
"Acanthurus nigricauda","2012",5,29000,359,0.0139275766016713
"Acanthurus nigricauda","2022",1,5000,43,0.0232558139534884
"Acanthurus nigricauda","2023",1,3000,187,0.0053475935828877
"Acanthurus nigrofuscus","2012",461,408739.669421488,1572,0.293256997455471
"Acanthurus nigrofuscus","2015",21,49000,443,0.0474040632054176
"Acanthurus nigrofuscus","2016",418,429000,2087,0.200287494010541
"Acanthurus nigrofuscus","2017",100,1e+05,1035,0.0966183574879227
"Acanthurus nigrofuscus","2018",196,196000,1423,0.137737174982431
"Acanthurus nigrofuscus","2019",63,63000,764,0.0824607329842932
"Acanthurus nigrofuscus","2022",4,5000,113,0.0353982300884956
"Acanthurus nigrofuscus","2023",65,81250,858,0.0757575757575758
"Acanthurus nigroris","2015",650,864000,727,0.894085281980743
"Acanthurus nigroris","2016",1522,1873500,2087,0.729276473406804
"Acanthurus nigroris","2017",874,1338008.47457627,1130,0.773451327433628
"Acanthurus nigroris","2018",490,938000,1423,0.344342937456079
"Acanthurus nigroris","2019",309,326100,842,0.366983372921615
"Acanthurus nigroris","2022",149,223500,201,0.741293532338308
"Acanthurus nigroris","2023",878,1766694.63087248,1525,0.575737704918033
"Acanthurus olivaceus","2012",163,267347.56097561,1593,0.102322661644696
"Acanthurus olivaceus","2013",1037,2617240.69767442,2171,0.477660064486412
"Acanthurus olivaceus","2015",116,459500,727,0.159559834938102
"Acanthurus olivaceus","2016",890,2422750,2087,0.426449448969813
"Acanthurus olivaceus","2017",96,312600,1092,0.0879120879120879
"Acanthurus olivaceus","2018",164,684500,1423,0.115249472944483
"Acanthurus olivaceus","2019",75,240000,842,0.0890736342042755
"Acanthurus olivaceus","2022",195,1427500,389,0.501285347043702
"Acanthurus olivaceus","2023",60,323000,1525,0.039344262295082
"Acanthurus pyroferus","2012",96,371067.164179104,1572,0.0610687022900763
"Acanthurus pyroferus","2013",205,1620652.5,2094,0.0978987583572111
"Acanthurus pyroferus","2015",46,146500,677,0.0679468242245199
"Acanthurus pyroferus","2016",881,2059450,2087,0.422137038811691
"Acanthurus pyroferus","2017",231,656327.586206897,1130,0.204424778761062
"Acanthurus pyroferus","2018",485,1448000,1423,0.340829234012649
"Acanthurus pyroferus","2019",559,1549000,842,0.663895486935867
"Acanthurus pyroferus","2022",156,2905000,377,0.413793103448276
"Acanthurus pyroferus","2023",118,1475000,1525,0.0773770491803279
"Acanthurus triostegus","2012",478,719376.666666667,848,0.563679245283019
"Acanthurus triostegus","2015",493,714500,669,0.736920777279522
"Acanthurus triostegus","2016",334,474750,1957,0.170669391926418
"Acanthurus triostegus","2017",218,399135.135135135,950,0.229473684210526
"Acanthurus triostegus","2018",171,303500,1168,0.146404109589041
"Acanthurus triostegus","2019",51,98500,721,0.0707350901525659
"Acanthurus triostegus","2022",385,1129000,339,1.13569321533923
"Acanthurus triostegus","2023",704,1189632.77108434,1525,0.461639344262295
"Acanthurus tristis","2012",1,3000,284,0.00352112676056338
"Acanthurus tristris","2015",3,9500,241,0.012448132780083
"Acanthurus tristris","2016",107,317500,1459,0.0733379026730637
"Acanthurus tristris","2017",35,162814.814814815,741,0.0472334682860999
"Acanthurus tristris","2018",28,107500,1176,0.0238095238095238
"Acanthurus tristris","2022",23,69000,201,0.114427860696517
"Acanthurus tristris","2023",194,528000,1525,0.127213114754098
"Acanthurus tritis","2022",9,54000,159,0.0566037735849057
"Acanthurus tritis","2023",7,42000,227,0.0308370044052863
"Acanthurus xanthopterus","2016",141,689000,1125,0.125333333333333
"Acanthurus xanthopterus","2018",218,1070000,1127,0.193433895297249
"Acanthurus xanthopterus","2019",43,207500,842,0.0510688836104513
"Acanthurus xanthopterus","2023",6,30000,239,0.0251046025104603
"Acreichthys radiatus","2012",1,2000,189,0.00529100529100529
"Acreichthys radiatus","2013",9,45000,1095,0.00821917808219178
"Acreichthys tomentosus","2022",110,330000,107,1.02803738317757
"Alectis ciliaris","2012",4,22000,424,0.00943396226415094
"Alectis indicus","2013",1,4000,287,0.00348432055749129
"Alpheus randalli","2022",67,402000,169,0.396449704142012
"Amblycirrhitus pinos","2012",529,411700,838,0.63126491646778
"Amblycirrhitus pinos","2013",459,502135.989010989,2234,0.205461056401074
"Amblyeleotris aurora","2012",2,3000,122,0.0163934426229508
"Amblyeleotris aurora","2013",27,65000,1103,0.0244786944696283
"Amblyeleotris aurora","2022",266,1330000,137,1.94160583941606
"Amblyeleotris guttata","2022",488,1952000,210,2.32380952380952
"Amblyeleotris randalli","2022",161,6060000,210,0.766666666666667
"Amblyeleotris steinitzi","2012",7,12000,489,0.0143149284253579
"Amblyeleotris steinitzi","2015",5,12500,84,0.0595238095238095
"Amblyeleotris steinitzi","2016",34,79500,847,0.0401416765053129
"Amblyeleotris steinitzi","2017",17,41500,564,0.0301418439716312
"Amblyeleotris steinitzi","2018",1,3000,196,0.00510204081632653
"Amblyeleotris steinitzi","2019",24,59500,363,0.0661157024793388
"Amblyeleotris steinitzi","2022",3,6000,70,0.0428571428571429
"Amblyeleotris steinitzi","2023",7,14000,692,0.0101156069364162
"Amblyeleotris wheeleri","2015",1,2500,84,0.0119047619047619
"Amblyeleotris wheeleri","2016",4,12000,114,0.0350877192982456
"Amblyeleotris wheeleri","2017",1,2500,189,0.00529100529100529
"Amblyeleotris wheeleri","2022",290,1160000,180,1.61111111111111
"Amblyeteleotris gymnocephala","2012",77,91190.7894736842,1037,0.0742526518804243
"Amblyeteleotris gymnocephala","2013",19,47500,858,0.0221445221445221
"Amblygobius phalaena","2022",332,996000,168,1.97619047619048
"Amblygobius phalaena","2023",5,7000,309,0.0161812297734628
"Amblygobius rainfordi","2015",2,4000,142,0.0140845070422535
"Amblygobius rainfordi","2016",9,9000,1088,0.00827205882352941
"Amblygobius rainfordi","2017",14,14000,578,0.0242214532871972
"Amblygobius rainfordi","2018",32,32000,1213,0.0263808738664468
"Amblygobius rainfordi","2019",52,52000,623,0.0834670947030498
"Amphiprion clarkii","2012",862,1133518.98734177,1572,0.548346055979644
"Amphiprion clarkii","2015",472,972604.794520548,727,0.649243466299862
"Amphiprion clarkii","2016",1132,2131950,2087,0.542405366554863
"Amphiprion clarkii","2017",845,1937312.95620438,1130,0.747787610619469
"Amphiprion clarkii","2018",725,1651500,1423,0.509486999297259
"Amphiprion clarkii","2019",335,603500,842,0.397862232779097
"Amphiprion clarkii","2022",413,1791500,389,1.06169665809769
"Amphiprion clarkii","2023",367,872000,1525,0.240655737704918
"Amphiprion frenatus","2015",4,12000,216,0.0185185185185185
"Amphiprion frenatus","2016",6,15000,496,0.0120967741935484
"Amphiprion frenatus","2017",9,22500,306,0.0294117647058824
"Amphiprion frenatus","2018",14,42000,467,0.0299785867237687
"Amphiprion melanopus","2022",1,3000,41,0.024390243902439
"Amphiprion ocellaris","2012",69,103066.666666667,1509,0.0457256461232604
"Amphiprion ocellaris","2015",67,137500,585,0.114529914529915
"Amphiprion ocellaris","2016",241,477250,1995,0.120802005012531
"Amphiprion ocellaris","2017",150,339500,1130,0.132743362831858
"Amphiprion ocellaris","2018",215,525500,1423,0.151089248067463
"Amphiprion ocellaris","2019",10,19000,432,0.0231481481481481
"Amphiprion ocellaris","2022",85,206000,389,0.218508997429306
"Amphiprion ocellaris","2023",78,168500,1525,0.0511475409836066
"Amphiprion perideraion","2022",43,112000,350,0.122857142857143
"Amphiprion perideraion","2023",84,183000,1438,0.0584144645340751
"Amphiprion polymnus","2012",54,98400,508,0.106299212598425
"Amphiprion polymnus","2022",173,840000,308,0.561688311688312
"Amphiprion polymnus","2023",24,63000,805,0.0298136645962733
"Amphiprion sandaracinos","2015",5,8500,270,0.0185185185185185
"Amphiprion sandaracinos","2016",187,290200,2087,0.0896022999520843
"Amphiprion sandaracinos","2017",1,1500,112,0.00892857142857143
"Amphiprion sandaracinos","2018",120,249000,1423,0.084328882642305
"Amphiprion sandaracinos","2019",36,53500,712,0.050561797752809
"Amphiprion sandaracinos","2022",2,6000,31,0.0645161290322581
"Amphiprion sandaracinos","2023",14,34000,848,0.0165094339622642
"Anampses caeruleopunctatus","2012",86,122250,848,0.101415094339623
"Anampses caeruleopunctatus","2015",110,203000,727,0.15130674002751
"Anampses caeruleopunctatus","2016",92,157500,1668,0.0551558752997602
"Anampses caeruleopunctatus","2017",71,183000,807,0.0879801734820322
"Anampses caeruleopunctatus","2018",84,192000,1263,0.0665083135391924
"Anampses caeruleopunctatus","2019",15,15000,435,0.0344827586206897
"Anampses caeruleopunctatus","2022",44,154000,339,0.129793510324484
"Anampses caeruleopunctatus","2023",150,387500,1525,0.0983606557377049
"Anampses lineatus","2012",85,111369.318181818,1572,0.0540712468193384
"Anampses melanurus","2012",64,101000,1253,0.0510774142059058
"Anampses melanurus","2016",3,8000,262,0.0114503816793893
"Anampses melanurus","2017",11,23500,480,0.0229166666666667
"Anampses melanurus","2018",24,53500,1119,0.0214477211796247
"Anampses melanurus","2019",4,7500,378,0.0105820105820106
"Anampses melanurus","2022",4,4000,70,0.0571428571428571
"Anampses melanurus","2023",219,1890932.47457627,1490,0.146979865771812
"Anampses meleagrides","2012",278,1554398.77300613,1572,0.176844783715013
"Anampses meleagrides","2013",107,483072.857142857,2097,0.0510252742012399
"Anampses meleagrides","2015",112,893000,727,0.154057771664374
"Anampses meleagrides","2016",209,1307300,2087,0.100143747005271
"Anampses meleagrides","2017",91,830500,1092,0.0833333333333333
"Anampses meleagrides","2018",181,1531500,1423,0.127196064652143
"Anampses meleagrides","2019",14,106500,533,0.026266416510319
"Anampses meleagrides","2022",141,1589000,339,0.415929203539823
"Anampses meleagrides","2023",147,1365000,1525,0.0963934426229508
"Ancanthurus pyroferus","2016",69,492000,1557,0.0443159922928709
"Ancanthurus pyroferus","2018",37,473000,1213,0.0305028854080791
"Ancanthurus pyroferus","2019",39,390000,842,0.0463182897862233
"Antennarius nummifer","2012",1,1500,284,0.00352112676056338
"Antennarius nummifer","2015",1,5000,158,0.00632911392405063
"Antennarius nummifer","2016",7,14000,604,0.0115894039735099
"Antennarius nummifer","2017",2,2000,98,0.0204081632653061
"Antennarius nummifer","2022",1,2000,70,0.0142857142857143
"Antennarius nummifer","2023",3,6000,332,0.00903614457831325
"Apogon semiornatus","2012",29,220500,848,0.0341981132075472
"Apolemichthys trimaculatus","2012",11,110000,661,0.0166414523449319
"Apolemichthys trimaculatus","2013",15,145500,1509,0.0099403578528827
"Apolemichthys trimaculatus","2015",9,65000,420,0.0214285714285714
"Apolemichthys trimaculatus","2016",17,258500,1268,0.0134069400630915
"Apolemichthys trimaculatus","2017",15,252000,855,0.0175438596491228
"Apolemichthys trimaculatus","2018",15,217000,798,0.018796992481203
"Apolemichthys trimaculatus","2019",5,74000,577,0.00866551126516464
"Apolemichthys trimaculatus","2022",4,1e+05,160,0.025
"Apolemichthys trimaculatus","2023",10,215000,975,0.0102564102564103
"Arothron immaculatus","2012",34,56974.1379310345,724,0.0469613259668508
"Arothron meleagris","2013",303,577331.447963801,2234,0.135631154879141
"Arothron meleagris","2015",23,50750,727,0.031636863823934
"Arothron meleagris","2016",312,588500,2087,0.149496885481552
"Arothron meleagris","2017",246,577395.27027027,1130,0.217699115044248
"Arothron meleagris","2018",150,450000,1423,0.105411103302881
"Arothron meleagris","2019",109,319500,842,0.129453681710214
"Arothron nigropunctatus","2022",178,765000,369,0.482384823848238
"Arothron nigropunctatus","2023",306,671030.112676056,1525,0.200655737704918
"Atrosalarias fuscus","2015",18,21000,569,0.031634446397188
"Atrosalarias fuscus","2016",350,361600,2087,0.167704839482511
"Atrosalarias fuscus","2017",73,73512.1951219512,870,0.0839080459770115
"Atrosalarias fuscus","2018",304,306750,1423,0.213633169360506
"Atrosalarias fuscus","2019",201,201000,842,0.238717339667458
"Atrosalarias fuscus","2022",32,36500,148,0.216216216216216
"Atrosalarias fuscus","2023",37,47500,1324,0.0279456193353474
"Aulostomus chinensis","2012",2,60000,197,0.0101522842639594
"Balistapus undulatus","2012",9,12600,411,0.0218978102189781
"Balistapus undulatus","2013",40,79900,2058,0.0194363459669582
"Balistapus undulatus","2016",69,113500,1257,0.0548926014319809
"Balistapus undulatus","2018",15,41000,356,0.0421348314606742
"Balistapus undulatus","2022",17,53375,172,0.0988372093023256
"Balistapus undulatus","2023",11,33000,867,0.0126874279123414
"Balistoides conspicillum","2012",3,110000,411,0.0072992700729927
"Balistoides conspicillum","2013",2,1e+05,389,0.0051413881748072
"Balistoides conspicillum","2015",1,50000,136,0.00735294117647059
"Balistoides conspicillum","2016",1,60000,114,0.0087719298245614
"Balistoides conspicillum","2017",2,140000,178,0.0112359550561798
"Balistoides conspicillum","2018",3,3e+05,150,0.02
"Balistoides viridescens","2013",2,1750,420,0.00476190476190476
"Bodianus anthioides","2013",2,30000,63,0.0317460317460317
"Bodianus anthioides","2015",1,10000,136,0.00735294117647059
"Bodianus anthioides","2018",2,1e+05,89,0.0224719101123595
"Bodianus axillaris","2012",1,2000,189,0.00529100529100529
"Bodianus axillaris","2015",3,24000,352,0.00852272727272727
"Bodianus axillaris","2016",5,25500,872,0.00573394495412844
"Bodianus axillaris","2017",6,45500,386,0.0155440414507772
"Bodianus axillaris","2018",9,69000,746,0.0120643431635389
"Bodianus axillaris","2019",3,15000,236,0.0127118644067797
"Bodianus axillaris","2022",1,10000,30,0.0333333333333333
"Bodianus axillaris","2023",3,25500,435,0.00689655172413793
"Bodianus bilunulatus","2012",3,11000,189,0.0158730158730159
"Bodianus bilunulatus","2013",8,25500,1390,0.00575539568345324
"Bodianus bilunulatus","2015",3,6500,399,0.0075187969924812
"Bodianus bilunulatus","2016",1,2500,130,0.00769230769230769
"Bodianus bilunulatus","2017",2,9000,284,0.00704225352112676
"Bodianus bilunulatus","2018",7,50500,497,0.0140845070422535
"Bodianus bilunulatus","2022",4,41000,132,0.0303030303030303
"Bodianus bimaculatus","2012",164,663000,571,0.287215411558669
"Bodianus bimaculatus","2013",153,558000,1845,0.0829268292682927
"Bodianus bimaculatus","2016",196,765000,2087,0.093914710110206
"Bodianus bimaculatus","2018",208,1031000,1251,0.166266986410871
"Bodianus bimaculatus","2019",55,236000,614,0.0895765472312704
"Bodianus bimaculatus","2022",11,99000,101,0.108910891089109
"Bodianus diana","2015",457,963000,727,0.628610729023384
"Bodianus diana","2016",1331,2664750,2087,0.637757546717777
"Bodianus diana","2017",736,1513889.76377953,1130,0.651327433628319
"Bodianus diana","2018",890,1840500,1423,0.625439212930429
"Bodianus diana","2019",427,854000,842,0.507125890736342
"Bodianus diana","2022",103,344043.47826087,369,0.279132791327913
"Bodianus diana","2023",362,586017.568181818,1525,0.237377049180328
"Bodianus mesothorax","2012",20,40000,189,0.105820105820106
"Bodianus mesothorax","2015",111,244246.666666667,727,0.152682255845942
"Bodianus mesothorax","2016",392,852500,2087,0.187829420220412
"Bodianus mesothorax","2017",252,582000,1130,0.223008849557522
"Bodianus mesothorax","2018",393,882500,1423,0.276177090653549
"Bodianus mesothorax","2019",197,4e+05,842,0.23396674584323
"Bodianus mesothorax","2022",68,238186.046511628,389,0.174807197943445
"Bodianus mesothorax","2023",516,1092329.35483871,1525,0.338360655737705
"Caesio pisang","2022",3,37500,30,0.1
"Caesio teres","2022",18,270000,174,0.103448275862069
"Caesio teres","2023",10,150000,427,0.0234192037470726
"Calcinus elegans","2012",19,28500,250,0.076
"Calcinus elegans","2023",3042,111673500,1059,2.87252124645892
"Cantherhines pardalis","2012",50,25250,482,0.103734439834025
"Cantherhines pardalis","2013",66,59750,1634,0.0403916768665851
"Canthigaster bennetti","2022",3,9000,31,0.0967741935483871
"Canthigaster bennetti","2023",31,93000,611,0.0507364975450082
"Canthigaster epilampra","2012",14,19250,472,0.0296610169491525
"Canthigaster epilampra","2013",83,166000,1360,0.0610294117647059
"Canthigaster janthinoptera","2022",1,1500,70,0.0142857142857143
"Canthigaster janthinoptera","2023",4,6000,309,0.0129449838187702
"Canthigaster solandri","2022",109,325000,389,0.280205655526992
"Canthigaster solandri","2023",127,333000,1525,0.0832786885245902
"Canthigaster valentini","2012",326,361500,1572,0.207379134860051
"Canthigaster valentini","2015",232,475000,727,0.319119669876204
"Canthigaster valentini","2016",356,624500,2087,0.170579779587925
"Canthigaster valentini","2017",477,785449.34751773,1130,0.42212389380531
"Canthigaster valentini","2018",821,1206500,1423,0.576950105411103
"Canthigaster valentini","2019",382,396000,842,0.453681710213777
"Canthigaster valentini","2022",572,1824500,389,1.47043701799486
"Canthigaster valentini","2023",373,983000,1525,0.244590163934426
"Cassiopea sp","2022",60,420000,36,1.66666666666667
"Centropyge argi","2012",96,1082648.64864865,848,0.113207547169811
"Centropyge bicolor","2012",786,1917405.94059406,1572,0.5
"Centropyge bicolor","2013",827,2498920,2234,0.370188003581021
"Centropyge bicolor","2015",298,1001140,727,0.40990371389271
"Centropyge bicolor","2016",672,2180750,2087,0.321993291806421
"Centropyge bicolor","2017",586,2077785.41666667,1130,0.51858407079646
"Centropyge bicolor","2018",619,2543000,1423,0.434996486296557
"Centropyge bicolor","2019",451,1606000,842,0.53562945368171
"Centropyge bicolor","2022",1127,8148500,389,2.89717223650386
"Centropyge bicolor","2023",1202,5015138.58269231,1525,0.788196721311475
"Centropyge bispinosa","2023",2,45000,176,0.0113636363636364
"Centropyge bispinosus","2012",8,38250,930,0.00860215053763441
"Centropyge bispinosus","2017",7,60000,461,0.0151843817787419
"Centropyge bispinosus","2018",2,20000,286,0.00699300699300699
"Centropyge bispinosus","2019",2,20000,199,0.0100502512562814
"Centropyge eibli","2012",401,1234247.12643678,1572,0.255089058524173
"Centropyge eibli","2015",109,411000,727,0.149931224209078
"Centropyge eibli","2016",356,1249750,2087,0.170579779587925
"Centropyge eibli","2017",287,1177659.57446809,1130,0.253982300884956
"Centropyge eibli","2018",281,1363500,1423,0.197470133520731
"Centropyge eibli","2019",164,869500,842,0.194774346793349
"Centropyge eibli","2022",248,1808500,389,0.637532133676093
"Centropyge eibli","2023",536,2277682.8685259,1525,0.351475409836066
"Centropyge fisheri","2022",5,10000,113,0.0442477876106195
"Centropyge fisheri","2023",8,16000,650,0.0123076923076923
"Centropyge flavicauda","2012",5,5000,275,0.0181818181818182
"Centropyge flavicauda","2013",3,4500,571,0.00525394045534151
"Centropyge flavicauda","2022",77,308000,107,0.719626168224299
"Centropyge nox","2012",12,21857.1428571429,661,0.0181543116490166
"Centropyge nox","2013",12,18500,822,0.0145985401459854
"Centropyge nox","2015",1,2000,99,0.0101010101010101
"Centropyge nox","2016",23,44250,1357,0.0169491525423729
"Centropyge nox","2017",9,23000,228,0.0394736842105263
"Centropyge nox","2018",20,52500,651,0.0307219662058372
"Centropyge nox","2019",53,134000,842,0.0629453681710214
"Centropyge nox","2022",57,198000,280,0.203571428571429
"Centropyge nox","2023",182,364000,1525,0.119344262295082
"Centropyge tibicen","2012",212,405773.4375,1593,0.13308223477715
"Centropyge tibicen","2013",106,203128.676470588,2171,0.0488254260709351
"Centropyge tibicen","2015",28,70000,727,0.0385144429160935
"Centropyge tibicen","2016",370,800250,2087,0.177287973167226
"Centropyge tibicen","2017",103,227500,1049,0.0981887511916111
"Centropyge tibicen","2018",212,553000,1423,0.148981026001405
"Centropyge tibicen","2019",150,378000,842,0.178147268408551
"Centropyge tibicen","2022",283,1299000,389,0.727506426735218
"Centropyge tibicen","2023",31,106500,1438,0.021557719054242
"Centropyge vroliki","2015",142,253500,727,0.195323246217331
"Centropyge vroliki","2016",655,954400,2087,0.313847628174413
"Centropyge vroliki","2017",306,474720.472440945,1130,0.270796460176991
"Centropyge vroliki","2018",523,611500,1423,0.367533380182713
"Centropyge vroliki","2019",442,596000,842,0.524940617577197
"Centropyge vroliki","2022",322,1090000,389,0.827763496143959
"Centropyge vroliki","2023",642,1590000,1525,0.420983606557377
"Centropyge vrolikii","2012",598,661799.086757991,1572,0.380407124681934
"Cephalopholis miniata","2012",170,399000,848,0.200471698113208
"Cephalopholis miniata","2015",1,2000,158,0.00632911392405063
"Cephalopholis miniata","2016",45,134500,1856,0.0242456896551724
"Cephalopholis miniata","2017",12,40363.6363636364,862,0.0139211136890951
"Cephalopholis miniata","2018",17,46000,1133,0.0150044130626655
"Cephalopholis miniata","2019",2,6000,101,0.0198019801980198
"Cetoscarus bicolor","2016",15,72000,1285,0.0116731517509728
"Cetoscarus bicolor","2017",2,7500,84,0.0238095238095238
"Cetoscarus bicolor","2018",4,15500,373,0.0107238605898123
"Cetoscarus bicolor","2019",2,10000,309,0.00647249190938511
"Cetoscarus bicolor","2022",32,470500,280,0.114285714285714
"Cetoscarus bicolor","2023",1,8000,172,0.00581395348837209
"Chaetodermis pencilligera","2015",6,35000,149,0.0402684563758389
"Chaetodermis pencilligera","2016",6,32500,518,0.0115830115830116
"Chaetodermis pencilligera","2022",2,20000,70,0.0285714285714286
"Chaetodermis penicilligerus","2022",1,14000,70,0.0142857142857143
"Chaetodon Sp","2022",177,265500,201,0.880597014925373
"Chaetodon Sp","2023",793,1189500,1525,0.52
"Chaetodon adiergastos","2012",10,9000,406,0.0246305418719212
"Chaetodon adiergastos","2015",2,2000,158,0.0126582278481013
"Chaetodon adiergastos","2016",64,64500,1757,0.0364257256687536
"Chaetodon adiergastos","2017",22,22000,503,0.0437375745526839
"Chaetodon adiergastos","2018",57,57000,832,0.0685096153846154
"Chaetodon adiergastos","2019",38,38000,412,0.0922330097087379
"Chaetodon adiergastos","2022",22,82000,214,0.102803738317757
"Chaetodon adiergastos","2023",24,36000,586,0.0409556313993174
"Chaetodon auriga","2016",4,9000,545,0.0073394495412844
"Chaetodon auriga","2017",6,25000,451,0.0133037694013304
"Chaetodon auriga","2018",20,94000,461,0.0433839479392625
"Chaetodon auriga","2019",6,19000,306,0.0196078431372549
"Chaetodon auriga","2022",145,1150000,210,0.69047619047619
"Chaetodon baronessa","2012",138,161472.222222222,1483,0.0930546190155091
"Chaetodon baronessa","2013",353,410907.258064516,2234,0.158012533572068
"Chaetodon baronessa","2015",96,156000,727,0.132049518569464
"Chaetodon baronessa","2016",333,624000,2087,0.159559175850503
"Chaetodon baronessa","2017",119,257000,988,0.120445344129555
"Chaetodon baronessa","2018",641,971000,1423,0.450456781447646
"Chaetodon baronessa","2019",366,398000,842,0.434679334916865
"Chaetodon baronessa","2022",230,690000,319,0.721003134796238
"Chaetodon baronessa","2023",53,159000,754,0.0702917771883289
"Chaetodon bennetti","2012",8,32500,761,0.0105124835742444
"Chaetodon bennetti","2013",44,224500,1341,0.0328113348247576
"Chaetodon bennetti","2015",9,40000,435,0.0206896551724138
"Chaetodon bennetti","2016",102,397000,907,0.112458654906284
"Chaetodon bennetti","2017",64,314000,828,0.0772946859903382
"Chaetodon bennetti","2018",11,55000,638,0.0172413793103448
"Chaetodon bennetti","2019",1,2000,121,0.00826446280991736
"Chaetodon bennetti","2022",21,420000,107,0.196261682242991
"Chaetodon citrinellus","2022",49,98000,319,0.153605015673981
