"Month","Year","Days_Fished","Number_Fishers_Mo","Catch","Effort","Income","CPUE_final","Month_Number","year"
"June",2017,22,21,7710,81,20079400,95.1851851851852,6,2017
"July",2017,28,27,15597,189,35586014.5375384,82.5238095238095,7,2017
"August",2017,20,17,6186,73,13879148,84.7397260273973,8,2017
"September",2017,23,23,10404,112,24777800,92.8928571428571,9,2017
"October",2017,27,23,11423,109,28171900,104.798165137615,10,2017
"November",2017,22,19,8160,98,17385330.723126,83.265306122449,11,2017
"January",2018,14,10,4713,50,9733500,94.26,1,2018
"February",2018,21,8,6425,71,12765700,90.4929577464789,2,2018
"March",2018,23,11,7364,100,14065300,73.64,3,2018
"April",2018,24,11,10597,155,20364200,68.3677419354839,4,2018
"May",2018,17,11,8279,104,14898797,79.6057692307692,5,2018
"June",2018,26,12,14513,182,28367593.1860902,79.7417582417582,6,2018
"July",2018,24,10,10950,141,24929500,77.6595744680851,7,2018
"August",2018,26,12,12669,160,33966250,79.18125,8,2018
"September",2018,29,12,15244,196,40538150,77.7755102040816,9,2018
"October",2018,24,10,10007,124,25308500,80.7016129032258,10,2018
"November",2018,19,10,7795,89,16639500,87.5842696629213,11,2018
"January",2019,17,9,7070,98,14309579.0816327,72.1428571428571,1,2019
"February",2019,20,8,10013,135,17955500,74.1703703703704,2,2019
"March",2019,12,8,5650,78,11931850,72.4358974358974,3,2019
"April",2019,21,10,9309,130,17714750,71.6076923076923,4,2019
"May",2019,19,8,9441,121,20122350,78.0247933884298,5,2019
"June",2019,24,11,13248,179,29067350,74.0111731843575,6,2019
"July",2019,13,10,7466,101,14147700,73.9207920792079,7,2019
"January",2022,12,6,10312,41,44354500,251.512195121951,1,2022
"February",2022,17,6,9798,36,41198500,272.166666666667,2,2022
"March",2022,15,5,6757,30,31499500,225.233333333333,3,2022
"April",2022,9,13,5895,30,18787305.4996471,196.5,4,2022
"May",2022,9,11,6439,30,35218716.5890645,214.633333333333,5,2022
"June",2022,16,11,7056,43,26684893.6370039,164.093023255814,6,2022
"July",2022,7,2,2796,12,5973500,233,7,2022
"August",2022,5,3,1762,8,4189000,220.25,8,2022
"September",2022,17,2,5363,30,14790000,178.766666666667,9,2022
"October",2022,15,4,5305,31,15862500,171.129032258065,10,2022
"November",2022,13,6,5489,28,14332465.7744625,196.035714285714,11,2022
"January",2023,23,28,15572,160,93410993.9852141,97.325,1,2023
"February",2023,18,22,10199,90,51062629.201876,113.322222222222,2,2023
"March",2023,18,20,10170,106,31324702.9670768,95.9433962264151,3,2023
"April",2023,17,21,7437,83,15903263.0370626,89.6024096385542,4,2023
"May",2023,24,24,9473,137,25128089.0748026,69.1459854014599,5,2023
"June",2023,25,23,11937,172,22762035.5045461,69.4011627906977,6,2023
"July",2023,15,25,10867,79,25350033.5025822,137.556962025316,7,2023
"August",2023,14,11,3850,35,10689769.0849438,110,8,2023
"September",2023,16,21,5802,87,13476977.387426,66.6896551724138,9,2023
"October",2023,19,24,16351,187,39963757.1852338,87.4385026737968,10,2023
"November",2023,25,20,11894,176,27952927.3744354,67.5795454545455,11,2023
