"Month","Species","Year","Total_Catch","Total_Income","Individual_fishing_trips_mo","CPUE"
"January","Canthigaster valentini","2017",32,66500,117,0.273504273504274
"January","Canthigaster valentini","2018",38,74000,50,0.76
"January","Canthigaster valentini","2019",57,68500,98,0.581632653061224
"January","Canthigaster valentini","2022",115,389000,41,2.80487804878049
"January","Canthigaster valentini","2023",30,39250,160,0.1875
"January","Centropyge bicolor","2012",36,64500,53,0.679245283018868
"January","Centropyge bicolor","2013",10,22750,66,0.151515151515152
"January","Centropyge bicolor","2015",15,52500,50,0.3
"January","Centropyge bicolor","2016",31,104500,117,0.264957264957265
"January","Centropyge bicolor","2017",24,97250,117,0.205128205128205
"January","Centropyge bicolor","2018",44,187500,50,0.88
"January","Centropyge bicolor","2019",10,60000,98,0.102040816326531
"January","Centropyge bicolor","2022",322,2654000,41,7.85365853658537
"January","Centropyge bicolor","2023",108,280000,160,0.675
"January","Centropyge eibli","2012",22,70500,53,0.415094339622642
"January","Centropyge eibli","2015",19,87000,50,0.38
"January","Centropyge eibli","2016",25,105000,117,0.213675213675214
"January","Centropyge eibli","2017",36,122000,117,0.307692307692308
"January","Centropyge eibli","2018",7,35000,50,0.14
"January","Centropyge eibli","2019",19,103000,98,0.193877551020408
"January","Centropyge eibli","2022",53,426500,41,1.29268292682927
"January","Centropyge eibli","2023",40,124000,160,0.25
"January","Centropyge fisheri","2023",1,2000,160,0.00625
"January","Centropyge flavicauda","2012",2,2000,53,0.0377358490566038
"January","Centropyge flavicauda","2022",51,204000,41,1.24390243902439
"January","Centropyge nox","2012",3,4500,53,0.0566037735849057
"January","Centropyge nox","2017",5,10000,117,0.0427350427350427
"January","Centropyge nox","2018",1,4500,50,0.02
"January","Centropyge nox","2019",8,20000,98,0.0816326530612245
"January","Centropyge nox","2022",12,60000,41,0.292682926829268
"January","Centropyge nox","2023",23,46000,160,0.14375
"January","Centropyge tibicen","2012",11,17000,53,0.207547169811321
"January","Centropyge tibicen","2013",4,7000,66,0.0606060606060606
"January","Centropyge tibicen","2015",1,3000,50,0.02
"January","Centropyge tibicen","2016",6,13000,117,0.0512820512820513
"January","Centropyge tibicen","2017",18,37000,117,0.153846153846154
"January","Centropyge tibicen","2018",16,35000,50,0.32
"January","Centropyge tibicen","2019",19,47500,98,0.193877551020408
"January","Centropyge tibicen","2022",74,359000,41,1.80487804878049
"January","Centropyge tibicen","2023",4,8500,160,0.025
"January","Centropyge vroliki","2015",11,23500,50,0.22
"January","Centropyge vroliki","2016",17,32500,117,0.145299145299145
"January","Centropyge vroliki","2017",85,126000,117,0.726495726495726
"January","Centropyge vroliki","2018",8,14000,50,0.16
"January","Centropyge vroliki","2019",31,33500,98,0.316326530612245
"January","Centropyge vroliki","2022",37,141000,41,0.902439024390244
"January","Centropyge vroliki","2023",33,71000,160,0.20625
"January","Centropyge vrolikii","2012",5,5000,53,0.0943396226415094
"January","Cephalopholis miniata","2017",1,3000,117,0.00854700854700855
"January","Cetoscarus bicolor","2018",1,3000,50,0.02
"January","Cetoscarus bicolor","2022",6,90000,41,0.146341463414634
"January","Chaetodermis pencilligera","2015",4,22500,50,0.08
"January","Chaetodermis pencilligera","2016",4,22500,117,0.0341880341880342
"January","Chaetodon Sp","2023",138,207000,160,0.8625
"January","Chaetodon adiergastos","2017",7,7000,117,0.0598290598290598
"January","Chaetodon adiergastos","2019",15,15000,98,0.153061224489796
"January","Chaetodon adiergastos","2022",2,10000,41,0.0487804878048781
"January","Chaetodon auriga","2017",1,2000,117,0.00854700854700855
"January","Chaetodon auriga","2019",2,10000,98,0.0204081632653061
"January","Chaetodon auriga","2022",60,480000,41,1.46341463414634
"January","Chaetodon baronessa","2012",10,15000,53,0.188679245283019
"January","Chaetodon baronessa","2013",4,4000,66,0.0606060606060606
"January","Chaetodon baronessa","2015",6,12000,50,0.12
"January","Chaetodon baronessa","2016",45,90000,117,0.384615384615385
"January","Chaetodon baronessa","2017",20,42500,117,0.170940170940171
"January","Chaetodon baronessa","2018",19,46000,50,0.38
"January","Chaetodon baronessa","2019",78,108000,98,0.795918367346939
"January","Chaetodon baronessa","2022",24,72000,41,0.585365853658537
"January","Chaetodon bennetti","2012",1,4000,53,0.0188679245283019
"January","Chaetodon bennetti","2013",1,6000,66,0.0151515151515152
"January","Chaetodon bennetti","2017",14,70000,117,0.11965811965812
"January","Chaetodon bennetti","2022",15,3e+05,41,0.365853658536585
"January","Chaetodon citrinellus","2022",5,10000,41,0.121951219512195
"January","Chaetodon ephippium","2022",7,122500,41,0.170731707317073
"January","Chaetodon falcula","2022",25,437500,41,0.609756097560976
"January","Chaetodon kleinii","2012",22,26250,53,0.415094339622642
"January","Chaetodon kleinii","2013",41,41000,66,0.621212121212121
"January","Chaetodon kleinii","2016",96,152000,117,0.82051282051282
"January","Chaetodon kleinii","2018",86,97000,50,1.72
"January","Chaetodon kleinii","2019",131,153000,98,1.33673469387755
"January","Chaetodon kleinii","2022",49,128000,41,1.19512195121951
"January","Chaetodon lunula","2012",2,4000,53,0.0377358490566038
"January","Chaetodon lunula","2016",1,6000,117,0.00854700854700855
"January","Chaetodon lunula","2017",2,10000,117,0.0170940170940171
"January","Chaetodon lunula","2019",3,30000,98,0.0306122448979592
"January","Chaetodon lunula","2022",11,220000,41,0.268292682926829
"January","Chaetodon lunula","2023",4,6000,160,0.025
"January","Chaetodon madagascariensis","2022",1,17500,41,0.024390243902439
"January","Chaetodon melannotus","2017",5,12500,117,0.0427350427350427
"January","Chaetodon melannotus","2018",1,3500,50,0.02
"January","Chaetodon melannotus","2022",10,58000,41,0.24390243902439
"January","Chaetodon meyeri","2017",14,95500,117,0.11965811965812
"January","Chaetodon meyeri","2018",1,8000,50,0.02
"January","Chaetodon meyeri","2019",1,5000,98,0.0102040816326531
"January","Chaetodon meyeri","2022",1,10000,41,0.024390243902439
"January","Chaetodon meyeri","2023",1,1500,160,0.00625
"January","Chaetodon octofasciatus","2022",1,4000,41,0.024390243902439
"January","Chaetodon ornatissimus","2022",1,10000,41,0.024390243902439
"January","Chaetodon punctatofasciatus","2013",1,3000,66,0.0151515151515152
"January","Chaetodon punctatofasciatus","2022",1,6000,41,0.024390243902439
"January","Chaetodon rafflesi","2022",41,281000,41,1
"January","Chaetodon speculum","2022",12,90000,41,0.292682926829268
"January","Chaetodon speculum","2023",2,3000,160,0.0125
"January","Chaetodon trifascialis","2017",15,45000,117,0.128205128205128
"January","Chaetodon trifascialis","2018",4,16000,50,0.08
"January","Chaetodon trifascialis","2022",8,42500,41,0.195121951219512
"January","Chaetodon trifascialis","2023",2,3000,160,0.0125
"January","Chaetodon trifasciatus","2012",8,9500,53,0.150943396226415
"January","Chaetodon trifasciatus","2013",4,4000,66,0.0606060606060606
"January","Chaetodon trifasciatus","2015",15,36000,50,0.3
"January","Chaetodon trifasciatus","2016",16,37000,117,0.136752136752137
"January","Chaetodon trifasciatus","2017",50,105500,117,0.427350427350427
"January","Chaetodon trifasciatus","2018",15,33000,50,0.3
"January","Chaetodon trifasciatus","2022",9,27000,41,0.219512195121951
"January","Chaetodon ulietensis","2022",25,187500,41,0.609756097560976
"January","Chaetodon unimaculatus","2022",3,15000,41,0.0731707317073171
"January","Chaetodon vagabundus","2022",14,45000,41,0.341463414634146
"January","Chaetodontoplus mesoleucus","2022",7,28000,41,0.170731707317073
"January","Cheilinus fasciatus","2015",1,1000,50,0.02
"January","Cheilinus fasciatus","2016",1,1000,117,0.00854700854700855
"January","Cheilinus fasciatus","2017",6,6000,117,0.0512820512820513
"January","Cheilinus fasciatus","2019",1,1000,98,0.0102040816326531
"January","Chelmon rostratus","2012",1,1500,53,0.0188679245283019
"January","Chelmon rostratus","2022",110,1100000,41,2.68292682926829
"January","Chirrhilabrus cyanopleura","2016",395,367500,117,3.37606837606838
"January","Chirrhilabrus cyanopleura","2018",39,74500,50,0.78
"January","Chirrhilabrus cyanopleura","2019",65,127000,98,0.663265306122449
"January","Chromis lineata","2022",309,618000,41,7.53658536585366
"January","Chromis lineata","2023",70,140000,160,0.4375
"January","Chromis margaritifer","2012",98,49000,53,1.84905660377358
"January","Chromis margaritifer","2013",154,96600,66,2.33333333333333
"January","Chromis margaritifer","2015",169,239100,50,3.38
"January","Chromis margaritifer","2016",191,252300,117,1.63247863247863
"January","Chromis margaritifer","2017",251,180700,117,2.14529914529915
"January","Chromis margaritifer","2018",299,342900,50,5.98
"January","Chromis margaritifer","2019",72,99500,98,0.73469387755102
"January","Chromis margaritifer","2022",339,508500,41,8.26829268292683
"January","Chromis margaritifer","2023",146,158375,160,0.9125
"January","Chromis retrofasciata","2016",49,69900,117,0.418803418803419
"January","Chromis retrofasciata","2018",100,66300,50,2
"January","Chromis retrofasciata","2019",340,340000,98,3.46938775510204
"January","Chromis retrofasciata","2022",163,244500,41,3.97560975609756
"January","Chromis retrofasciata","2023",136,204000,160,0.85
"January","Chromis viridis","2012",450,225000,53,8.49056603773585
"January","Chromis viridis","2013",895,695000,66,13.5606060606061
"January","Chromis viridis","2015",500,694000,50,10
"January","Chromis viridis","2016",3547,2522200,117,30.3162393162393
"January","Chromis viridis","2017",524,779000,117,4.47863247863248
"January","Chromis viridis","2018",595,892500,50,11.9
"January","Chromis viridis","2019",300,450000,98,3.06122448979592
"January","Chromis viridis","2022",1460,2190000,41,35.609756097561
"January","Chromis viridis","2023",4304,6035051.59375,160,26.9
"January","Chromis weberi","2012",385,193000,53,7.26415094339623
"January","Chromis weberi","2013",324,164900,66,4.90909090909091
"January","Chrysiptera cyanea","2022",23,34500,41,0.560975609756098
"January","Chrysiptera talboti","2012",143,86500,53,2.69811320754717
"January","Chrysiptera talboti","2013",156,142600,66,2.36363636363636
"January","Chrysiptera talboti","2015",144,193500,50,2.88
"January","Chrysiptera talboti","2016",274,302100,117,2.34188034188034
"January","Chrysiptera talboti","2017",507,349200,117,4.33333333333333
"January","Chrysiptera talboti","2018",270,271800,50,5.4
"January","Chrysiptera talboti","2019",437,442000,98,4.45918367346939
"January","Chrysiptera talboti","2022",154,231000,41,3.75609756097561
"January","Chrysiptera talboti","2023",1057,1076000,160,6.60625
"January","Cirrhilabrus cyanopleura","2012",44,44700,53,0.830188679245283
"January","Cirrhilabrus cyanopleura","2013",42,31500,66,0.636363636363636
"January","Cirrhilabrus cyanopleura","2022",75,170000,41,1.82926829268293
"January","Cirrhilabrus cyanopleura","2023",24,37000,160,0.15
"January","Cirrhilabrus exquisitus","2012",114,132500,53,2.15094339622642
"January","Cirrhilabrus exquisitus","2013",81,114750,66,1.22727272727273
"January","Cirrhilabrus exquisitus","2016",263,448500,117,2.24786324786325
"January","Cirrhilabrus exquisitus","2018",32,83000,50,0.64
"January","Cirrhilabrus exquisitus","2019",68,182000,98,0.693877551020408
"January","Cirrhilabrus exquisitus","2022",5,20000,41,0.121951219512195
"January","Cirrhilabrus exquisitus","2023",1,1500,160,0.00625
"January","Cirrhilabrus filamentosus","2015",1,2000,50,0.02
"January","Cirrhilabrus filamentosus","2016",5,12000,117,0.0427350427350427
"January","Cirrhilabrus filamentosus","2017",1,2500,117,0.00854700854700855
"January","Cirrhilabrus filamentosus","2018",1,4000,50,0.02
"January","Cirrhilabrus filamentosus","2022",2,14000,41,0.0487804878048781
"January","Cirrhilabrus flavidorsalis","2023",3,4500,160,0.01875
"January","Cirrhilabrus lubbocki","2012",4,4000,53,0.0754716981132075
"January","Cirrhilabrus lubbocki","2015",5,7500,50,0.1
"January","Cirrhilabrus lubbocki","2016",5,7500,117,0.0427350427350427
"January","Cirrhilabrus lubbocki","2017",1,1000,117,0.00854700854700855
"January","Cirrhilabrus lubbocki","2018",1,1000,50,0.02
"January","Cirrhilabrus lubbocki","2022",105,420000,41,2.5609756097561
"January","Cirrhitichthys aprinus","2015",23,28500,50,0.46
"January","Cirrhitichthys aprinus","2016",46,51500,117,0.393162393162393
"January","Cirrhitichthys aprinus","2017",79,80000,117,0.675213675213675
"January","Cirrhitichthys aprinus","2018",47,51000,50,0.94
"January","Cirrhitichthys aprinus","2019",102,104000,98,1.04081632653061
"January","Cirrhitichthys aprinus","2023",163,164500,160,1.01875
"January","Cirrhitichthys falco","2022",10,20000,41,0.24390243902439
"January","Cirrhitichthys falco","2023",1,2000,160,0.00625
"January","Cirrhitichthys oxycephalus","2022",1,2000,41,0.024390243902439
"January","Coris aygula","2018",1,42500,50,0.02
"January","Coris gaimard","2012",32,76000,53,0.60377358490566
"January","Coris gaimard","2013",82,192250,66,1.24242424242424
"January","Coris gaimard","2015",90,274500,50,1.8
"January","Coris gaimard","2016",111,339000,117,0.948717948717949
"January","Coris gaimard","2017",117,358000,117,1
"January","Coris gaimard","2018",257,899000,50,5.14
"January","Coris gaimard","2019",32,164000,98,0.326530612244898
"January","Coris gaimard","2022",76,659500,41,1.85365853658537
"January","Coris gaimard","2023",155,414500,160,0.96875
"January","Coris pictoides","2013",1,1000,66,0.0151515151515152
"January","Cromileptes altivelis","2022",2,20000,41,0.0487804878048781
"January","Cryptocentrus cinctus","2022",2,6000,41,0.0487804878048781
"January","Cryptocentrus leptocephalus","2022",1,3000,41,0.024390243902439
"January","Ctenochaetus striatus","2022",32,96000,41,0.780487804878049
"January","Ctenochaetus striatus","2023",2,6000,160,0.0125
"January","Ctenochaetus tominiensis","2022",5,275000,41,0.121951219512195
"January","Ctenochaetus tominiensis","2023",1,15000,160,0.00625
"January","Ctenogobiops tangaroai","2022",6,45000,41,0.146341463414634
"January","Cyprinocirrhites polyactis","2012",3,3000,53,0.0566037735849057
"January","Cyprinocirrhites polyactus","2019",8,8000,98,0.0816326530612245
"January","Dascyllus reticulatus","2012",50,25000,53,0.943396226415094
"January","Dascyllus reticulatus","2017",5,7500,117,0.0427350427350427
"January","Dascyllus reticulatus","2018",111,81000,50,2.22
"January","Dascyllus reticulatus","2019",103,103000,98,1.05102040816327
"January","Dascyllus reticulatus","2022",76,114000,41,1.85365853658537
"January","Dascyllus trimaculatus","2012",119,72000,53,2.24528301886792
"January","Dascyllus trimaculatus","2013",75,42100,66,1.13636363636364
"January","Dascyllus trimaculatus","2015",93,108500,50,1.86
"January","Dascyllus trimaculatus","2016",266,195000,117,2.27350427350427
"January","Dascyllus trimaculatus","2017",132,152000,117,1.12820512820513
"January","Dascyllus trimaculatus","2018",45,27000,50,0.9
"January","Dascyllus trimaculatus","2019",303,306500,98,3.09183673469388
"January","Dascyllus trimaculatus","2022",34,51000,41,0.829268292682927
"January","Dascyllus trimaculatus","2023",9,6750,160,0.05625
"January","Dendrochirus biocellatus","2012",5,3750,53,0.0943396226415094
"January","Dendrochirus biocellatus","2013",1,1000,66,0.0151515151515152
"January","Dendrochirus biocellatus","2015",2,30000,50,0.04
"January","Dendrochirus biocellatus","2016",2,30000,117,0.0170940170940171
"January","Dendrochirus biocellatus","2017",2,16000,117,0.0170940170940171
"January","Dendrochirus biocellatus","2018",2,30000,50,0.04
"January","Dendrochirus biocellatus","2019",4,40000,98,0.0408163265306122
"January","Dendrochirus zebra","2015",5,12500,50,0.1
"January","Dendrochirus zebra","2016",15,22500,117,0.128205128205128
"January","Dendrochirus zebra","2017",6,6000,117,0.0512820512820513
"January","Dendrochirus zebra","2019",12,12000,98,0.122448979591837
"January","Dendrochirus zebra","2022",3,9000,41,0.0731707317073171
"January","Dendrochirus zebra","2023",5,7976.1904761905,160,0.03125
"January","Diademichthys lineatus","2022",13,39000,41,0.317073170731707
"January","Diproctacanthus xanthurus","2023",1,2000,160,0.00625
"January","Dischistodus perspicillatus","2019",75,75000,98,0.76530612244898
"January","Doryrhamphus dactyliophorus","2012",1,1500,53,0.0188679245283019
"January","Doryrhamphus dactyliophorus","2016",1,1500,117,0.00854700854700855
"January","Doryrhamphus dactyliophorus","2017",2,3000,117,0.0170940170940171
"January","Doryrhamphus dactyliophorus","2022",2,9000,41,0.0487804878048781
